video_id,title,published_at,fetched_at,view_count,like_count,comment_count,duration,duration_seconds,has_shorts_hashtag,is_short,is_live_broadcast,live_broadcast_status,description,thumbnail_url,video_url
o2E93MyAh7o,FC'Legit'設立４周年㊗️ファンクラブ内に特別動画を公開しました！#ReoLegit,2026-02-28 10:29:26+00:00,2026-03-05T01:55:19.935545,11860,292,4,PT39S,39,False,True,False,none,,https://i.ytimg.com/vi/o2E93MyAh7o/default.jpg,https://www.youtube.com/watch?v=o2E93MyAh7o
1gRpXOuaJYE,さあうたえ　君がうたえ#Reol #れをる  #うつくしじごく#美辞学 #jpop,2026-02-25 12:00:03+00:00,2026-03-05T01:55:19.935576,27627,997,9,PT38S,38,False,True,False,none,,https://i.ytimg.com/vi/1gRpXOuaJYE/default.jpg,https://www.youtube.com/watch?v=1gRpXOuaJYE
QTkAj_kMvbY,ここはうつくしじごく#Reol #れをる  #うつくしじごく#美辞学 #jpop #オリジナル曲,2026-02-21 12:00:42+00:00,2026-03-05T01:55:19.935589,12622,605,7,PT38S,38,False,True,False,none,,https://i.ytimg.com/vi/QTkAj_kMvbY/default.jpg,https://www.youtube.com/watch?v=QTkAj_kMvbY
fiWUm-oJI5E,昨年11月に行われた横浜アリーナ公演より、「うつくしじごく」のライヴ映像をYouTubeにて公開！#Reol #うつくしごく #美辞学#オリジナル曲#jpop,2026-02-18 12:01:07+00:00,2026-03-05T01:55:19.935602,41169,938,6,PT59S,59,False,True,False,none,,https://i.ytimg.com/vi/fiWUm-oJI5E/default.jpg,https://www.youtube.com/watch?v=fiWUm-oJI5E
q_LSSqQt5nk,Reol - うつくしじごく[Live at 無題 in YOKOHAMA ARENA],2026-02-18 12:00:06+00:00,2026-03-05T01:55:19.935644,44214,2439,131,PT6M12S,372,False,False,False,none,"Reol Oneman Live無題 in YOKOHAMA ARENA 2025.11.9

Guitar：Yuya Komoguch
Bass : Ryosuke Nikamoto
Key：Yuki Kishida
Drums : Shunsuke Uehara

Choreography Suichu-megane∞

Dancers
Ayane Nakagawa,Shimpei Nemoto,Aeju Kim,Conoa,Chippi,HARUKA TANADA,KANTARO
Kota,KENVOSE,NeneChiki,Patrick Akira,TAKUYA

【Release Info】
Reol「美辞学」2026年1月21日(水)発売
特設サイト: https://reol.jp/feature/bijigaku#ancAlbum
予約リンク: https://Reol.lnk.to/Rhetorica_CD
【完全限定生産（CD+ GOODS）】￥11,000＋税※ファンクラブ会員限定盤
【初回限定盤A（CD+Blu-ray】￥7,000＋税
【初回限定盤B（CD+DVD】 ￥6,300＋税
【通常盤（CD）】￥3,300＋税

＜CD＞
一、うつくしじごく
Sound Produced by MONJOE

二、おとめの肖像
Sound Produced by Shin Sakiura

三、感情御中
Sound Produced by ツミキ

四、DEAD CENTER feat. LiSA
Sound Produced by Giga

五、ディア
Sound Produced by Giga

六、ULTRA C feat. nqrse
Sound Produced by TeddyLoid, Giga

七、SHINOBI
Sound Produced by 堀江晶太

八、二等星
Sound Produced by ぬゆり

九、-閑話- 
Sound Produced by KOTONOHOUSE

十、RE RESCUE
Sound Produced by KOTONOHOUSE

終、美辞目録
Sound Produced by 椎乃味醂

＜Blu-ray, DVD＞
Reol Oneman Live 2025 カルチュア・カリキュラム at Zepp DiverCity(TOKYO)

＜GOODS（初回限定盤のみ）＞
オリジナルステッカー3種

＜GOODS（完全限定生産盤のみ）＞
オリジナルジャージ　※L Size Only

＜全形態共通特典＞
アルバム「美辞学」全形態に封入されているシリアルコードを専用フォームに入力しお申込みいただくと、各会場抽選で選ばれたご当選者様を対象にしたサイン会にご招待します。
応募期間：2026年1月20日 0:00～2026年1月31日 23:59

＜店舗別予約特典＞
楽天ブックス: オリジナルアクリルキーホルダー
セブンネットショッピング: 手ぬぐい
Amazon.co.jp: メガジャケ
Reol応援店：オリジナルステッカー

※特典は数に限りがありますので、無くなり次第終了となります。あらかじめご了承ください。
※上記店舗以外での特典配布はございません。
※Reol応援店対象店舗は追ってご案内いたします。
※各オンラインショップに関して、カートが公開されるまでに時間がかかる場合がございます。
※Amazon.co.jp、その他一部オンラインショップでは”特典対象商品ページ”と ”特典非対象商品ページ”がございます。
ご予約の際にご希望される商品ページかをご確認いただいてからご予約いただきますよう、お願い申し上げます。

【Live Info】
「Reol Oneman Live 2026 “美辞学”」
Reol Oneman Live 2026 “美辞学”リンク : https://reol.jp/feature/bijigaku 
3/14 (sat)　栃木・HEAVEN'S ROCK UTSUNOMIYA VJ-2
3/20 (fri)　徳島・club GRINDHOUSE
3/22 (sun)　山口・周南RISING HALL
3/28 (sat)　神戸・Harbor Studio
4/4 (sat)　三重・松阪M'AXA
4/11 (sat)　青森・Quarter
4/18 (sat)　長崎・DRUM Be-7
4/19 (sun)　熊本B.9 V1
4/29 (wed)　沖縄・桜坂セントラル
5/9 (sat)　旭川・CASINO DRIVE
5/10 (sun)　札幌・PENNY LANE 24
5/16 (sat)　横浜・YOKOHAMA BayHall
5/23 (sat)　長野・NAGANO CLUB JUNK BOX
5/24 (sun)　新潟・新潟LOTS 
5/30 (sat)　京都・KYOTO FANJ
5/31 (sun)　岐阜・Club-G
6/12 (fri)　宮城・トークネットホール仙台
6/19 (fri)　大阪・オリックス劇場
6/27 (sat)　福岡・福岡国際会議場メインホール
7/4 (sat)　愛知・岡谷鋼機名古屋公会堂
7/10 (fri)　東京・LINE CUBE SHIBUYA

■About Reol
歌手・作曲家・作詞家・音楽プロデューサー、Reol。
2018 年よりソロでのリリースを開始し、2019 年にはYouTube のチャンネル登録者数が日本人
女性ソロアーティスト史上初の100 万人を突破。
YouTube FanFest Japan 2019 にてゴールド・クリエイター・アワードを受賞。
2020 年、YouTube グローバルキャンペーン“Artist on the Rise” に日本人女性アーティストとして
初選出され、ボートレースCM ソング「第六感」がストリーミング再生1 億回を突破する大ヒット
を記録。
現在、YouTube 登録者数は176万人を突破。総再生回数は12億回を超え、国内外から人気を集めている。

■Official Site
http://reol.jp

■X
Reol：https://twitter.com/rrreol
Reol Official：https://twitter.com/rrreol_official

■Instagram
Reol：https://www.instagram.com/rrreol999/
Reol Official： https://www.instagram.com/rrreol_official/

■TikTok
https://www.tiktok.com/@rrreol999

#Reol #うつくしじごく#美辞学",https://i.ytimg.com/vi/q_LSSqQt5nk/default.jpg,https://www.youtube.com/watch?v=q_LSSqQt5nk
hjhcdA0KO9o,Reol - 'うつくしじごく' Music Video,2026-02-16 12:00:06+00:00,2026-03-05T01:55:19.935681,147008,8275,261,PT3M56S,236,False,False,False,none,"■Reol - New Album'美辞学' OUT NOW 
Listen Here
https://stlink.to/Bijigaku_

今うたえ　僕をうたえ
ここで果ててもかまわない
君はうつくしじごく

もういっそ　すべてを差し出して
骨も残さず食らってくれ
罪をそっとほどいて　感傷ごと抱いて
ちょいともらってやってはくれないか

騒ぎ立てる喧騒みな無礼講　勝手な幻想への抵抗
誰も違いに惑って　凡な普通を願って
僕らの天命よ流転して　葛藤まっとうしろ運命
散るらん　咲くらん　真実をご覧
ここは地獄か極楽か？

今うたえ　僕をうたえ
ここで果ててもかまわない
命、結んで開いて　永遠なんてないよ所詮
ここはうつくしじごく

さあうたえ　君がうたえ
その目つきで刺しておくれ
命、結んで開いて　永遠みたいな夢をみせて
君のうつくしじごく


破れかぶれここまで　修羅を潜りお呼ばれ
とこしえ　その死線　の先にゃまた死線
どんな結末に出食わすのか思いを巡らす
この河渡るべからず　手放せ己の不要な体たらく
You got it.

自問自答いつも　不一致が招く戦争
こんな世界を許してやっちゃくれないか
(We're heading to the grave
I am my own slave, la la la la)
ここは地獄か極楽か


今うたえ　僕をうたえ
命、結んで開いて　永遠なんてない
さあ　今を　断ち切って

今うたえ　僕をうたえ
まだ死ねぬのは君のせい
命、結んで開いて　永遠なんてないよ所詮
ここはうつくしじごく　じごくだとしても

さあうたえ　君がうたえ
どうか美々しく咲いておくれ
命、結んで開いて　永遠みたいな夢をみせていて
君よ　うつくしじごくで！

【Release Info】
Reol「美辞学」2026年1月21日(水)発売
特設サイト: https://reol.jp/feature/bijigaku#ancAlbum
予約リンク: https://Reol.lnk.to/Rhetorica_CD
【完全限定生産（CD+ GOODS）】￥11,000＋税※ファンクラブ会員限定盤
【初回限定盤A（CD+Blu-ray】￥7,000＋税
【初回限定盤B（CD+DVD】 ￥6,300＋税
【通常盤（CD）】￥3,300＋税

＜CD＞
一、うつくしじごく
Sound Produced by MONJOE

二、おとめの肖像
Sound Produced by Shin Sakiura

三、感情御中
Sound Produced by ツミキ

四、DEAD CENTER feat. LiSA
Sound Produced by Giga

五、ディア
Sound Produced by Giga

六、ULTRA C feat. nqrse
Sound Produced by TeddyLoid, Giga

七、SHINOBI
Sound Produced by 堀江晶太

八、二等星
Sound Produced by ぬゆり

九、-閑話- 
Sound Produced by KOTONOHOUSE

十、RE RESCUE
Sound Produced by KOTONOHOUSE

終、美辞目録
Sound Produced by 椎乃味醂

＜Blu-ray, DVD＞
Reol Oneman Live 2025 カルチュア・カリキュラム at Zepp DiverCity(TOKYO)

＜GOODS（初回限定盤のみ）＞
オリジナルステッカー3種

＜GOODS（完全限定生産盤のみ）＞
オリジナルジャージ　※L Size Only

＜全形態共通特典＞
アルバム「美辞学」全形態に封入されているシリアルコードを専用フォームに入力しお申込みいただくと、各会場抽選で選ばれたご当選者様を対象にしたサイン会にご招待します。
応募期間：2026年1月20日 0:00～2026年1月31日 23:59

＜店舗別予約特典＞
楽天ブックス: オリジナルアクリルキーホルダー
セブンネットショッピング: 手ぬぐい
Amazon.co.jp: メガジャケ
Reol応援店：オリジナルステッカー

※特典は数に限りがありますので、無くなり次第終了となります。あらかじめご了承ください。
※上記店舗以外での特典配布はございません。
※Reol応援店対象店舗は追ってご案内いたします。
※各オンラインショップに関して、カートが公開されるまでに時間がかかる場合がございます。
※Amazon.co.jp、その他一部オンラインショップでは”特典対象商品ページ”と ”特典非対象商品ページ”がございます。
ご予約の際にご希望される商品ページかをご確認いただいてからご予約いただきますよう、お願い申し上げます。

【Live Info】
「Reol Oneman Live 2026 “美辞学”」
Reol Oneman Live 2026 “美辞学”リンク : https://reol.jp/feature/bijigaku 
3/14 (sat)　栃木・HEAVEN'S ROCK UTSUNOMIYA VJ-2
3/20 (fri)　徳島・club GRINDHOUSE
3/22 (sun)　山口・周南RISING HALL
3/28 (sat)　神戸・Harbor Studio
4/4 (sat)　三重・松阪M'AXA
4/11 (sat)　青森・Quarter
4/18 (sat)　長崎・DRUM Be-7
4/19 (sun)　熊本B.9 V1
4/29 (wed)　沖縄・桜坂セントラル
5/9 (sat)　旭川・CASINO DRIVE
5/10 (sun)　札幌・PENNY LANE 24
5/16 (sat)　横浜・YOKOHAMA BayHall
5/23 (sat)　長野・NAGANO CLUB JUNK BOX
5/24 (sun)　新潟・新潟LOTS 
5/30 (sat)　京都・KYOTO FANJ
5/31 (sun)　岐阜・Club-G
6/12 (fri)　宮城・トークネットホール仙台
6/19 (fri)　大阪・オリックス劇場
6/27 (sat)　福岡・福岡国際会議場メインホール
7/4 (sat)　愛知・岡谷鋼機名古屋公会堂
7/10 (fri)　東京・LINE CUBE SHIBUYA

■About Reol
歌手・作曲家・作詞家・音楽プロデューサー、Reol。
2018 年よりソロでのリリースを開始し、2019 年にはYouTube のチャンネル登録者数が日本人
女性ソロアーティスト史上初の100 万人を突破。
YouTube FanFest Japan 2019 にてゴールド・クリエイター・アワードを受賞。
2020 年、YouTube グローバルキャンペーン“Artist on the Rise” に日本人女性アーティストとして
初選出され、ボートレースCM ソング「第六感」がストリーミング再生1 億回を突破する大ヒット
を記録。
現在、YouTube 登録者数は176万人を突破。総再生回数は12億回を超え、国内外から人気を集めている。

■Official Site
http://reol.jp

■X
Reol：https://twitter.com/rrreol
Reol Official：https://twitter.com/rrreol_official

■Instagram
Reol：https://www.instagram.com/rrreol999/
Reol Official： https://www.instagram.com/rrreol_official/

■TikTok
https://www.tiktok.com/@rrreol999

#Reol #うつくしじごく #美辞学",https://i.ytimg.com/vi/hjhcdA0KO9o/default.jpg,https://www.youtube.com/watch?v=hjhcdA0KO9o
9iDUbHUFjCY,『Reol Oneman Live 2026 美辞学』チケット一般発売スタート🎫,2026-02-14 01:00:19+00:00,2026-03-05T01:55:19.935694,15923,964,4,PT33S,33,False,True,False,none,,https://i.ytimg.com/vi/9iDUbHUFjCY/default.jpg,https://www.youtube.com/watch?v=9iDUbHUFjCY
mLQdCJqsq9o,好きにやったれ #Reol #れをる #LiSA #DEADCENTER #美辞学 #jpop #オリジナル曲,2026-02-02 09:07:24+00:00,2026-03-05T01:55:19.935710,27498,961,7,PT21S,21,False,True,False,none,,https://i.ytimg.com/vi/mLQdCJqsq9o/default.jpg,https://www.youtube.com/watch?v=mLQdCJqsq9o
fWm8km4TWhU,衝撃をあげるわ#Reol #れをる #LiSA #DEADCENTER,2026-02-01 09:01:03+00:00,2026-03-05T01:55:19.935723,13086,714,5,PT26S,26,False,True,False,none,,https://i.ytimg.com/vi/fWm8km4TWhU/default.jpg,https://www.youtube.com/watch?v=fWm8km4TWhU
y6MYghbeBuc,′DEAD CENTER feat. LiSA' Homage Scene Clip #Reol #れをる #LiSA #DEADCENTER,2026-01-31 09:01:21+00:00,2026-03-05T01:55:19.935734,21818,521,5,PT8S,8,False,True,False,none,,https://i.ytimg.com/vi/y6MYghbeBuc/default.jpg,https://www.youtube.com/watch?v=y6MYghbeBuc
